Category: Health

Week,internet of things: (Indonesia)
2019-08-04,52
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,100
2019-09-29,50
2019-10-06,49
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,51
2019-11-10,0
2019-11-17,0
2019-11-24,48
2019-12-01,0
2019-12-08,50
2019-12-15,51
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,46
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,48
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,42
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,44
2020-05-03,44
2020-05-10,45
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,45
2020-06-21,47
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,42
2020-07-26,0
